time_h,S,DO2,O2,P,V,Wt,pH,T,Q,Viscosity,Culture_age,a0,a1,a3,a4,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,nm,phi0,CO2outgas,CO2_d,PAA,NH3,mu_P_calc,mu_X_calc,Fg,RPM,Fpaa,Fs,Fa,Fb,Fc,Foil,Fh,Fw,pressure,Fremoved
h,g/L,mg/L,O2  (%),g/L,L,Kg,pH,K,kJ,centPoise,h,g/L,g/L,g/L,g/L,-,-,-,-,-,-,-,-,-,-,-,-,%,(mg L^{-1}),PAA (g L^{-1}),NH3 (g L^{-1}),hr^{-1},hr^{-1},L/h,RPM,PAA flow (L/h),L/h,L/h,L/h,L/h,L/hr,L/h,L/h,bar,L/h
0.2,0.9722977982,14.73757696,0.2162101302,0.001,57924.5645,60617.91997,6.447557673,297.5627841,292.0915719,4.082431308,0.1018810599,0.1776415879,0.3386313692,8.837032279e-29,5.307689313e-33,2013249.757,44400.52691,651.1733364,7.15506317,0.06287376851,0.0004605679309,2.895378325e-06,1.596409011e-08,7.852766789e-11,3.491538408e-13,7.494682077e-14,1.647086106e-05,0.08794414972,0.2324263256,1518.623201,1614.524019,0.008202126538,0.07971936341,30,100,5,8,0,29.0958714,0.0001,22,306.6877874,0,0.6,-0
0.4,1.017038938,14.7357076,0.2087394817,0.0009993631883,57931.99013,60629.81585,6.490697612,297.8556029,370.1222669,4.166456491,0.2065589626,0.187838993,0.3427898989,1.74544458e-25,2.05788905e-29,3960499.913,175391.6888,5156.670746,113.5111495,1.997362277,0.02928112734,0.0003680020596,4.04927444e-06,3.96457395e-08,3.493133708e-10,7.497631705e-11,3.240176414e-05,0.09976160237,0.2629663909,1526.540837,1618.152429,0.008221741862,0.07964516755,30,100,5,8,0,50.07280212,0.0001,22,87.44327226,0,0.6,-0
0.6,1.060341534,14.7126178,0.206791835,0.0009987122236,57940.19615,60642.5036,6.53874347,297.8388456,365.6561206,4.252033532,0.3141818225,0.1981339372,0.3475805325,1.494617798e-23,2.635097025e-27,5853483.941,389947.3319,17230.0415,569.7049014,15.05310105,0.3312888053,0.006248837631,0.0001031556865,1.514426643e-06,1.997827239e-08,4.287845383e-09,4.788870351e-05,0.1037818341,0.2739059824,1534.386087,1621.749473,0.008239093047,0.07924903352,30,100,5,8,0,54.17225814,0.0001,22,0.0001,0,0.6,-0
0.8,1.102409808,14.71371099,0.2063447301,0.0009981109833,57945.35131,60652.13569,6.57166182,298.2132947,465.4674748,4.339121652,0.4248919867,0.208509471,0.3529863262,3.506823324e-22,8.231974731e-26,7701895.123,685355.1521,40437.9132,1784.811433,62.93428519,1.847919482,0.04649292649,0.001023471127,2.003021054e-05,3.518560389e-07,7.551243529e-08,6.301098213e-05,0.106258733,0.2778145333,1542.279219,1625.423477,0.008264140192,0.07851166799,30,100,5,8,0,39.17532756,0.0001,22,110.4628367,0,0.6,-0
1,1.143136171,14.70931868,0.2062187103,0.0009975736167,57946.65879,60657.92282,6.578726033,298.0764881,428.9984075,4.427684792,0.5388318381,0.2190118437,0.3590074999,4.051854959e-21,1.188463687e-24,9514049.767,1059153.012,78206.53387,4319.041999,190.5190583,6.997011238,0.2201514863,0.006059558726,0.0001482520205,3.252641521e-06,6.980104008e-07,7.783663764e-05,0.1084877292,0.2845625976,1550.216602,1629.196622,0.008299288499,0.07798317835,30,100,5,8,0.5180311802,19.58766378,123.2674227,22,11.04628367,0,0.6,-0
1.2,1.182005402,14.67778889,0.2059417903,0.0009970721168,57946.1467,60661.9045,6.567671941,297.9661607,399.5873221,4.517703602,0.656171557,0.2297889775,0.3657051209,2.991809128e-20,1.053260261e-23,11297950.08,1509109.263,133829.5387,8876.866455,470.2494259,20.73805996,0.7834181165,0.02588701576,0.0007602612761,2.000684639e-05,4.293154154e-06,9.243113794e-05,0.110754876,0.2913631329,1558.17971,1633.008686,0.008327637705,0.07845557939,30,100,5,8,1.038657981,9.79383189,81.25933441,22,1.104628367,0,0.6,-0
1.4,1.219396653,14.65421386,0.2056934744,0.0009965874929,57944.78462,60665.04663,6.548140453,297.9002342,382.0126663,4.609165242,0.7770910274,0.2407769493,0.3730286042,1.622133342e-19,6.666776528e-23,13060869.9,2033197.569,210469.3327,16299.65906,1008.143404,51.90507724,2.289046195,0.08829507063,0.003026830267,9.291249612e-05,1.993627588e-05,0.000106853992,0.1131216559,0.2981159736,1566.113463,1636.834302,0.008326586825,0.07835157621,30,100,5,8,1.560361603,4.896915945,47.09071037,22,0.1104628367,0,0.6,-0
1.6,1.254230939,14.63435242,0.2054853574,0.0009961217219,57942.11379,60666.87982,6.523571404,298.0882732,432.1392008,4.702058708,0.9017718633,0.2520721211,0.3810333531,7.00549019e-19,3.292409189e-22,14809825.35,2629540.019,311148.1848,27555.89345,1949.101509,114.7569324,5.787005267,0.2552346489,0.01000394583,0.0003508719447,7.528190252e-05,0.0001211626003,0.115606045,0.3032018257,1574.045641,1640.684224,0.008391919788,0.078773929,30,100,5,8,0,0,14.12721311,22,59.23991325,0,0.6,-0
1.8,1.286702512,14.62113907,0.2053457431,0.0009956525517,57939.42751,60668.69171,6.500189298,298.0122307,411.8687166,4.796376269,1.030401448,0.2636170562,0.3896675523,2.542455361e-18,1.344844603e-21,16551776.68,3296486.93,438772.0122,43736.45931,3482.294472,230.7808887,13.09896854,0.6502104067,0.02868045476,0.001131302771,0.0002427128774,0.0001354139063,0.1182111159,0.3105837606,1581.905733,1644.523485,0.008392037228,0.07869979933,30,100,5,8,0,0,75.75389807,22,5.923991325,0,0.6,-0
2,1.31655367,14.59867423,0.2051473026,0.0009951823292,57936.84921,60670.60471,6.478492617,297.9522931,395.8917211,4.892109376,1.163162628,0.2754606113,0.3989561789,8.048231488e-18,4.732649845e-21,18293118.33,4032536.054,596117.178,66045.09924,5845.780845,430.6849144,27.17445408,1.499397917,0.07351298344,0.003221109831,0.0006910213651,0.0001496602243,0.1209387545,0.3182527398,1589.729979,1648.347319,0.008470254262,0.07883395356,30,100,5,8,0,0.442352996,51.41917477,22,0.5923991325,0,0.6,-0
2.2,1.343957486,14.57394303,0.2049153069,0.0009946812613,57936.10826,60674.35247,6.471349958,297.918031,386.7588848,4.989253491,1.300247313,0.2876098003,0.4088908895,2.280835696e-17,1.476145264e-20,20039899.63,4836378.516,785851.0676,95793.39329,9331.061027,756.5858254,52.53602739,3.189995702,0.1721044954,0.008293462061,0.001779072846,0.0001639510455,0.1237936846,0.3260621562,1597.487586,1652.106027,0.008462872709,0.07894040979,30,100,5,8,0,9.561648581,31.7696803,22,0.05923991325,0,0.6,-0
2.4,1.368554273,14.55267299,0.2047054303,0.0009941377346,57937.73734,60680.47111,6.480255073,298.0691108,427.0315599,5.087807148,1.441855746,0.3001219552,0.4195095833,5.899403726e-17,4.167565253e-20,21798004.17,5706841.564,1010519.329,134390.6132,14286.70644,1264.321652,95.81857815,6.349778305,0.3738674045,0.01965075535,0.004215110779,0.0001783345046,0.1267843302,0.3326486554,1605.094472,1655.782365,0.008447127311,0.07930188708,30,100,5,8,0,21.49566407,9.530904089,22,43.45770191,0,0.6,-0
2.6,1.390652349,14.52106401,0.204417765,0.0009935654471,57941.0248,60688.24915,6.5002215,298.0221813,414.5209728,5.187769439,1.588190007,0.3129599849,0.4307768802,1.413192941e-16,1.082188598e-19,23573083.07,6642907.06,1272553.869,183336.7911,21121.86144,2025.917435,166.4101867,11.95202797,0.7626710483,0.0434220653,0.009313481161,0.0001928568348,0.1299111253,0.3412141184,1612.639262,1659.397437,0.008456997529,0.07928387936,30,100,5,8,0,29.86156974,58.83653614,22,4.345770191,0,0.6,-0
2.8,1.410111091,14.50182313,0.2042170059,0.0009929951228,57944.40295,60696.12098,6.520139573,297.9836562,404.2500311,5.289138677,1.7394501,0.3261530677,0.4427130361,3.171149587e-16,2.616891927e-19,25370478.44,7643696.986,1574275.885,244215.0303,30309.22155,3132.153566,277.1972525,21.45008851,1.474652653,0.09041003876,0.01939054347,0.0002075617414,0.1331732336,0.3501385321,1620.139365,1662.995396,0.008474287022,0.07927896591,30,100,5,8,0,30.25597605,44.10441585,22,0.4345770191,0,0.6,-0
3,1.426896482,14.48240792,0.2040417462,0.0009924530319,57946.28172,60702.49389,6.529684813,297.9635057,398.8774763,5.391912612,1.895834105,0.3396918287,0.4553038895,6.723578489e-16,5.948417203e-19,27195511.16,8708424.11,1917863.423,318671.4988,42384.74069,4694.739685,445.3525269,36.93873515,2.721864701,0.1787790461,0.03834084438,0.0002224927554,0.1365685584,0.3592596092,1627.646164,1666.622586,0.008489758351,0.0790584043,30,100,5,8,0,22.71870814,31.99702425,22,0.04345770191,0,0.6,-0
3.2,1.455990676,14.45473798,0.2038103119,0.0009919264283,57947.29979,60708.48296,6.520026987,297.9572249,397.202781,5.496095201,2.057562937,0.3536763065,0.4686262485,1.357340011e-15,1.281771636e-18,29044243.06,9836403.807,2305451.718,408440.2321,57956.64876,6850.118264,693.4314228,61.37482493,4.825833405,0.3380906453,0.07250198198,0.0002376176579,0.1401069737,0.368627997,1635.081982,1670.258005,0.008433304738,0.0792960767,30,100,5,15,0,11.39721234,24.72116391,22,0.004345770191,0,0.6,-0
3.4,1.482291165,14.42238028,0.203528669,0.0009914243141,57946.83268,60713.00807,6.498189331,297.9596146,397.8399811,5.60169713,2.224884752,0.3681842799,0.4827464131,2.624162806e-15,2.634760324e-18,30913146.09,11026496.83,2739009.955,515298.8742,77699.19067,9760.929932,1050.27435,98.80842879,8.25792505,0.6146846282,0.1318076728,0.000252907585,0.1438070562,0.3783341205,1642.479301,1673.917781,0.008448013589,0.07978221868,30,100,5,15,0,3.968639957,21.33686102,22,0.0004345770191,0,0.6,-0
